"","sample","lang","cregion","state","sex","q1","q3","eminuse","intmob","bbhome3a","bbhome3b","bbhome3c","bbhome3d","bbhome3e","cable1","date3a","date3b","date4a","date4b","date4c","date4d","date4e","date4f","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","age","marital","hh1","par","educ2","party","ideo","hisp","race","employed"
"196",1,1,2,29,2,2,3,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,1,1,3,NA,NA,1,2,40,1,2,1,8,3,4,2,1,1
"199",1,1,1,34,1,2,3,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,3,1,3,3,NA,1,1,1,57,1,4,2,4,3,1,2,1,1
"200",1,1,3,37,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,NA,2,NA,2,1,2,62,1,2,2,6,2,5,2,1,0
"206",1,1,2,20,2,2,NA,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,NA,3,NA,3,1,1,99,1,2,2,5,3,2,2,2,1
"209",1,1,2,18,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,3,1,NA,NA,NA,2,1,1,59,1,2,2,3,2,4,2,1,1
"213",1,1,2,27,1,1,2,1,1,3,1,2,3,2,1,2,2,2,2,2,NA,1,1,2,3,1,NA,NA,NA,NA,NA,1,54,NA,1,NA,4,3,2,2,1,1
"216",1,1,4,6,1,2,2,2,2,3,3,NA,3,3,1,2,2,2,2,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,90,5,1,2,6,2,3,2,1,1
"217",1,1,1,34,2,2,2,1,1,3,1,2,3,1,1,2,2,1,1,2,2,1,2,1,2,3,2,NA,3,2,2,2,57,6,1,2,3,1,2,2,1,1
"218",1,1,4,32,1,1,2,1,1,3,3,2,3,2,1,2,2,1,2,2,2,2,1,1,2,2,3,2,3,2,1,1,72,1,2,2,5,1,2,2,4,1
"220",1,1,2,26,2,2,2,1,2,2,NA,NA,2,NA,1,2,2,NA,2,2,2,1,2,2,2,3,NA,NA,NA,2,2,2,73,1,2,2,8,1,2,2,1,0
"221",1,1,3,45,1,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,1,2,2,NA,NA,NA,NA,NA,1,2,57,3,1,2,5,2,3,2,2,1
"223",1,1,4,6,1,4,4,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,NA,1,NA,NA,NA,NA,2,2,29,4,1,2,3,2,4,1,2,0
"224",1,2,4,4,2,2,2,2,1,1,1,1,2,1,2,1,2,2,2,NA,NA,2,2,2,3,2,3,3,3,3,2,1,32,1,2,1,2,NA,2,1,6,0
"228",1,1,1,25,1,3,3,1,1,3,1,1,1,NA,1,2,2,2,2,1,2,2,1,1,3,1,3,3,3,3,2,2,62,1,2,2,6,1,2,NA,NA,1
"232",1,1,2,55,2,1,1,1,1,3,3,3,3,3,1,1,1,1,1,2,1,1,2,1,NA,NA,3,3,3,3,1,1,99,1,2,1,6,1,2,2,1,1
"233",1,1,2,27,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,3,1,2,2,1,1,2,18,6,4,2,3,2,3,2,1,1
"236",1,1,3,45,2,2,3,1,2,2,1,1,1,3,1,2,2,NA,1,2,1,1,2,2,2,3,2,2,NA,NA,1,2,49,1,3,2,7,1,2,2,1,1
"237",1,1,2,27,2,4,3,1,1,2,2,2,3,1,1,1,2,1,1,1,2,1,1,2,2,1,NA,3,NA,3,1,2,44,6,1,1,3,3,NA,2,1,1
"238",1,1,3,12,1,1,3,1,1,3,3,3,3,3,1,2,2,1,1,2,2,1,2,2,3,1,NA,NA,NA,NA,2,2,62,1,2,2,6,1,2,2,1,1
"242",1,1,4,6,2,3,3,1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,1,3,2,2,2,2,2,2,49,1,4,2,3,1,2,2,1,1
"245",1,1,4,53,1,1,2,1,1,3,2,3,NA,NA,2,2,2,NA,NA,2,2,NA,2,2,3,1,1,2,NA,NA,1,2,99,1,4,2,8,NA,NA,NA,NA,1
"247",1,1,3,48,2,2,2,1,1,1,NA,2,2,2,2,2,2,1,NA,2,2,1,2,1,NA,3,NA,NA,NA,2,1,NA,61,6,1,2,4,3,4,2,1,1
"251",1,1,3,12,2,2,3,1,1,2,1,2,NA,2,1,2,2,1,2,1,1,2,1,2,NA,2,NA,NA,NA,NA,2,1,59,4,1,2,6,2,2,2,2,1
"252",1,1,2,20,1,3,4,1,1,1,1,NA,2,1,2,1,1,1,1,2,2,1,1,1,2,3,2,2,NA,2,2,2,56,1,3,2,5,2,3,2,1,1
"254",1,1,1,36,1,1,2,1,1,1,1,1,1,1,1,1,2,NA,NA,2,2,NA,2,1,1,2,2,2,2,2,1,2,67,1,3,2,8,2,3,2,1,1
"255",1,1,3,5,2,3,4,1,1,2,3,3,2,2,1,1,2,2,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,1,2,35,3,1,1,5,3,3,1,1,1
"258",1,1,3,21,1,3,3,1,1,3,3,3,3,3,1,2,2,2,2,1,1,2,1,2,3,2,NA,3,3,3,1,1,52,1,3,2,4,3,3,2,1,1
"260",1,2,1,44,2,1,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,1,2,65,2,3,2,1,2,2,1,1,0
"262",1,1,3,48,1,2,2,1,2,3,2,2,2,1,1,2,2,2,2,2,1,2,1,2,NA,1,NA,NA,NA,3,NA,1,99,1,NA,2,7,3,2,2,1,1
"266",1,1,4,6,2,1,3,1,1,3,1,1,2,2,1,2,2,2,2,NA,2,2,1,2,NA,NA,NA,NA,NA,NA,2,1,53,1,4,2,6,2,3,2,3,1
"267",1,1,4,6,2,3,4,1,1,3,3,3,3,3,1,2,2,2,2,2,2,1,1,1,3,1,3,3,3,3,2,2,37,1,4,1,3,NA,NA,1,4,0
"268",1,1,4,2,2,1,2,1,2,3,1,3,1,2,2,2,1,1,1,2,2,2,2,2,2,NA,1,3,NA,NA,1,1,53,6,1,2,6,3,4,2,1,1
"270",1,1,1,36,2,1,2,1,2,3,2,2,3,3,1,1,1,2,2,2,2,1,1,2,1,1,NA,NA,NA,NA,1,1,65,NA,3,2,3,1,3,2,1,1
"271",1,1,3,54,1,2,3,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,1,1,65,1,2,2,8,2,5,2,1,1
"273",1,1,4,41,1,2,2,1,1,2,1,2,NA,2,2,2,2,1,NA,2,NA,2,NA,2,2,2,2,2,2,2,1,2,65,1,2,2,8,2,5,2,1,1
"274",1,1,3,13,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,3,NA,3,2,3,NA,NA,2,67,1,2,2,3,1,2,2,1,1
"282",1,1,2,27,1,1,1,1,1,3,3,3,3,3,2,1,2,2,1,2,NA,1,1,2,2,2,2,NA,NA,2,1,2,50,1,3,2,6,3,3,2,1,1
"284",1,1,4,4,2,2,3,1,1,2,3,2,2,2,1,1,1,2,1,2,2,2,2,1,2,3,3,3,3,2,2,1,51,1,2,1,3,1,3,2,1,1
"285",1,1,4,6,2,2,2,1,1,1,1,1,1,1,1,NA,1,NA,1,2,2,1,1,2,2,1,2,2,NA,NA,1,2,26,1,2,1,6,3,2,2,1,1
"286",1,1,4,41,2,1,2,1,1,3,3,3,3,3,2,1,1,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,2,2,52,1,4,2,4,2,3,2,1,1
"288",1,2,3,37,2,1,2,2,2,3,1,1,1,NA,1,2,2,2,2,1,2,2,1,2,3,1,NA,NA,NA,NA,1,1,55,4,3,NA,3,2,3,1,1,1
"291",1,1,3,47,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,NA,2,2,2,2,1,NA,60,3,2,2,6,2,3,2,1,1
"293",1,2,1,34,1,1,2,1,1,2,1,3,2,2,1,2,2,1,1,1,2,1,2,2,2,2,NA,NA,NA,NA,1,1,45,1,2,1,4,3,2,1,1,1
"294",1,1,1,36,1,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,3,3,1,NA,2,1,2,22,6,4,2,3,3,3,2,3,1
"296",1,1,3,37,2,1,2,1,2,3,3,3,3,3,1,2,2,2,1,NA,1,2,1,1,2,2,2,2,2,3,2,2,33,1,2,1,3,3,3,2,1,1
"297",1,1,3,51,2,3,3,1,1,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,2,3,2,2,2,2,18,6,3,2,1,1,3,2,1,0
